ID,FullDate,DayOfMonth,Month,MonthName,WeekOfYear,DayOfWeekName,Quarter,Year
1,2021-01-20,20,1,January,3,Wednesday,1,2021
2,2021-01-21,21,1,January,3,Thursday,1,2021
3,2021-01-22,22,1,January,3,Friday,1,2021
4,2021-01-23,23,1,January,3,Saturday,1,2021
5,2021-01-24,24,1,January,3,Sunday,1,2021
6,2021-01-25,25,1,January,4,Monday,1,2021
7,2021-01-26,26,1,January,4,Tuesday,1,2021
8,2021-01-27,27,1,January,4,Wednesday,1,2021
9,2021-01-28,28,1,January,4,Thursday,1,2021
10,2021-01-29,29,1,January,4,Friday,1,2021
11,2021-01-30,30,1,January,4,Saturday,1,2021
12,2021-01-31,31,1,January,4,Sunday,1,2021
13,2021-02-01,1,2,February,5,Monday,1,2021
14,2021-02-02,2,2,February,5,Tuesday,1,2021
15,2021-02-03,3,2,February,5,Wednesday,1,2021
16,2021-02-04,4,2,February,5,Thursday,1,2021
17,2021-02-05,5,2,February,5,Friday,1,2021
18,2021-02-06,6,2,February,5,Saturday,1,2021
19,2021-02-07,7,2,February,5,Sunday,1,2021
20,2021-02-08,8,2,February,6,Monday,1,2021
21,2021-02-09,9,2,February,6,Tuesday,1,2021
22,2021-02-10,10,2,February,6,Wednesday,1,2021
23,2021-02-11,11,2,February,6,Thursday,1,2021
24,2021-02-12,12,2,February,6,Friday,1,2021
25,2021-02-13,13,2,February,6,Saturday,1,2021
26,2021-02-14,14,2,February,6,Sunday,1,2021
27,2021-02-15,15,2,February,7,Monday,1,2021
28,2021-02-16,16,2,February,7,Tuesday,1,2021
29,2021-02-17,17,2,February,7,Wednesday,1,2021
30,2021-02-18,18,2,February,7,Thursday,1,2021
31,2021-02-19,19,2,February,7,Friday,1,2021
32,2021-02-20,20,2,February,7,Saturday,1,2021
33,2021-02-21,21,2,February,7,Sunday,1,2021
34,2021-02-22,22,2,February,8,Monday,1,2021
35,2021-02-23,23,2,February,8,Tuesday,1,2021
36,2021-02-24,24,2,February,8,Wednesday,1,2021
37,2021-02-25,25,2,February,8,Thursday,1,2021
38,2021-02-26,26,2,February,8,Friday,1,2021
39,2021-02-27,27,2,February,8,Saturday,1,2021
40,2021-02-28,28,2,February,8,Sunday,1,2021
41,2021-03-01,1,3,March,9,Monday,1,2021
42,2021-03-02,2,3,March,9,Tuesday,1,2021
43,2021-03-03,3,3,March,9,Wednesday,1,2021
44,2021-03-04,4,3,March,9,Thursday,1,2021
45,2021-03-05,5,3,March,9,Friday,1,2021
46,2021-03-06,6,3,March,9,Saturday,1,2021
47,2021-03-07,7,3,March,9,Sunday,1,2021
48,2021-03-08,8,3,March,10,Monday,1,2021
49,2021-03-09,9,3,March,10,Tuesday,1,2021
50,2021-03-10,10,3,March,10,Wednesday,1,2021
51,2021-03-11,11,3,March,10,Thursday,1,2021
52,2021-03-12,12,3,March,10,Friday,1,2021
53,2021-03-13,13,3,March,10,Saturday,1,2021
54,2021-03-14,14,3,March,10,Sunday,1,2021
55,2021-03-15,15,3,March,11,Monday,1,2021
56,2021-03-16,16,3,March,11,Tuesday,1,2021
57,2021-03-17,17,3,March,11,Wednesday,1,2021
58,2021-03-18,18,3,March,11,Thursday,1,2021
59,2021-03-19,19,3,March,11,Friday,1,2021
60,2021-03-20,20,3,March,11,Saturday,1,2021
61,2021-03-21,21,3,March,11,Sunday,1,2021
62,2021-03-22,22,3,March,12,Monday,1,2021
63,2021-03-23,23,3,March,12,Tuesday,1,2021
64,2021-03-24,24,3,March,12,Wednesday,1,2021
65,2021-03-25,25,3,March,12,Thursday,1,2021
66,2021-03-26,26,3,March,12,Friday,1,2021
67,2021-03-27,27,3,March,12,Saturday,1,2021
68,2021-03-28,28,3,March,12,Sunday,1,2021
69,2021-03-29,29,3,March,13,Monday,1,2021
70,2021-03-30,30,3,March,13,Tuesday,1,2021
